,LCM_CLASS,b1,b2,b3,b4,b5,b6,b7,b8
0,Annual Crop,74,261,510,560,443,288,1120,4128
1,Annual Crop,123,252,368,376,336,275,674,2816
2,Annual Crop,76,244,323,342,367,279,674,2457
3,Annual Crop,119,254,497,534,464,281,1007,4553
4,Annual Crop,186,313,423,422,383,316,628,2616
5,Brush/Shrubs,115,184,392,388,327,188,826,3703
6,Brush/Shrubs,153,238,492,508,433,253,1086,3955
7,Brush/Shrubs,117,192,387,376,317,164,748,3626
8,Brush/Shrubs,142,229,386,372,365,180,767,2885
9,Brush/Shrubs,137,220,355,354,317,189,694,3353
10,Brush/Shrubs,120,244,474,538,449,263,1084,4447
11,Brush/Shrubs,171,233,457,501,419,231,1020,4745
12,Brush/Shrubs,115,207,442,488,452,228,1079,4022
13,Brush/Shrubs,122,199,407,402,343,183,894,4123
14,Brush/Shrubs,107,203,399,396,356,188,892,4187
15,Brush/Shrubs,123,185,414,414,367,197,904,3865
16,Brush/Shrubs,133,222,447,435,401,205,935,4398
17,Brush/Shrubs,103,174,363,354,318,179,798,4334
18,Brush/Shrubs,81,144,331,310,259,125,683,3488
19,Brush/Shrubs,160,246,468,515,465,272,1008,3888
20,Brush/Shrubs,109,216,487,505,442,266,1082,4307
21,Brush/Shrubs,168,227,467,503,438,265,995,4016
22,Brush/Shrubs,111,206,380,385,324,213,763,3675
23,Brush/Shrubs,142,238,510,570,432,214,1045,4631
24,Brush/Shrubs,142,228,405,389,305,187,761,4113
25,Brush/Shrubs,122,209,431,431,362,188,941,4782
26,Brush/Shrubs,124,241,446,497,448,248,1012,3802
27,Brush/Shrubs,141,171,296,278,251,136,541,2773
28,Brush/Shrubs,157,227,452,470,402,226,949,3373
29,Brush/Shrubs,100,201,467,499,420,216,1061,4695
30,Brush/Shrubs,109,197,423,422,375,191,885,4442
31,Brush/Shrubs,129,213,456,439,385,216,912,3275
32,Brush/Shrubs,138,203,454,464,367,204,948,4618
33,Brush/Shrubs,88,163,351,336,316,156,749,3717
34,Brush/Shrubs,135,231,460,479,439,259,952,3857
35,Brush/Shrubs,127,202,444,465,396,231,965,4387
36,Brush/Shrubs,54,145,252,211,207,87,435,2539
37,Brush/Shrubs,102,187,365,338,317,150,771,3724
38,Brush/Shrubs,123,208,425,428,390,201,961,4282
39,Brush/Shrubs,117,233,499,511,448,230,1061,3818
40,Brush/Shrubs,108,193,409,417,347,181,838,4054
41,Brush/Shrubs,102,219,399,435,373,225,828,3764
42,Brush/Shrubs,95,212,379,378,339,172,836,4388
43,Brush/Shrubs,222,285,523,539,479,270,1031,4063
44,Brush/Shrubs,156,247,436,461,418,269,903,3309
45,Brush/Shrubs,169,258,529,521,460,291,1035,4142
46,Brush/Shrubs,127,244,448,464,435,254,885,3450
